City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,hailey,43.5196,-114.3153,19.96,46,0,3.6,US,1721031796
112,cartagena del chaira,1.3349,-74.8429,20.2,100,48,0.84,CO,1721031872
113,copala,16.65,-98.9833,25.87,86,100,2.37,MX,1721031948
114,weligama,5.9667,80.4167,28.63,79,100,5.35,LK,1721032024
115,hadibu,12.65,54.0333,27.43,73,100,13.68,YE,1721032099
116,isafjordur,66.0755,-23.124,11.02,82,75,2.57,IS,1721032175
117,zhangye,38.9342,100.4517,32.68,28,13,5.37,CN,1721032251
118,puerto ayora,-0.7393,-90.3518,19.75,100,74,1.79,EC,1721032327
119,happy valley-goose bay,53.3168,-60.3315,7.17,100,40,1.03,CA,1721032402
120,rovnoye,50.7765,46.0509,26.56,46,0,4.28,RU,1721032478
121,magadan,59.5667,150.8,12.49,95,100,1.43,RU,1721032554
122,jutai,-5.1833,-68.9,18.77,85,24,1.13,BR,1721032630
123,tarija,-21.5355,-64.7296,0.71,55,53,0.43,BO,1721032705
124,chonchi,-42.6128,-73.8092,6.18,96,100,1.83,CL,1721032827
125,ust-nera,64.5667,143.2,20.58,38,9,1.51,RU,1721032903
126,kongoussi,13.3258,-1.5347,29.55,60,99,5.41,BF,1721032979
127,klyuchi,52.2667,79.1667,31.5,33,100,4.11,RU,1721033054
128,baruun-urt,46.6806,113.2792,17.72,88,100,11.22,MN,1721033130
129,la'ie,21.6477,-157.9253,25.98,80,91,4.02,US,1721033206
130,laojunmiao,39.8333,97.7333,25.74,38,0,8.79,CN,1721033282
131,cape canaveral,28.4058,-80.6048,26.71,90,40,2.06,US,1721033358
132,hami,42.8,93.45,37.98,10,76,1.98,CN,1721033433
133,formby,53.5536,-3.0682,19.71,84,0,2.57,GB,1721033525
134,as sulayyil,20.4607,45.5779,41.14,9,100,3.73,SA,1721033601
135,calipatria,33.1256,-115.5142,32.25,52,0,3.0,US,1721033704
136,hilo,19.7297,-155.09,24.85,83,40,2.06,US,1721033780
137,agua dulce,18.1333,-94.1333,25.39,86,87,3.59,MX,1721033855
138,enewetak,11.3474,162.3373,28.0,82,100,11.73,MH,1721034062
139,gordonvale,-17.0936,145.7842,22.88,94,59,1.13,AU,1721034138
140,miquelon,47.0975,-56.3814,14.0,96,90,1.8,PM,1721034398
141,thompson,55.7435,-97.8558,9.85,79,100,2.79,CA,1721034474
142,gizo,-8.103,156.8419,27.06,83,87,4.35,SB,1721034550
143,yerofey pavlovich,53.9667,121.9667,25.7,47,100,0.98,RU,1721034626
144,mahina,-17.5065,-149.489,26.87,78,75,5.14,PF,1721034701
145,nar'yan-mar,67.6713,53.087,23.78,52,41,2.53,RU,1721034852
146,tazacorte,28.629,-17.9293,22.54,78,0,5.66,ES,1721034928
147,bulgan,48.8125,103.5347,24.69,53,79,3.09,MN,1721035004
148,usinsk,65.9939,57.5281,23.6,39,100,0.69,RU,1721035080
149,sampit,-2.5333,112.95,27.43,80,100,2.39,ID,1721035557
150,arfoud,31.4348,-4.2375,38.02,8,4,4.16,MA,1721035632
151,tadine,-21.55,167.8833,20.64,89,100,3.9,NC,1721035708
152,luba,3.4568,8.5547,29.94,88,84,5.19,GQ,1721035859
153,prince rupert,54.3161,-130.3201,15.83,97,40,2.06,CA,1721036141
154,krasnoural'sk,58.3638,60.0407,22.58,45,49,3.91,RU,1721036261
155,namibe,-15.1961,12.1522,21.66,60,4,2.73,AO,1721037713
156,mankera,31.3866,71.4407,42.52,23,0,2.11,PK,1721037713
157,vorgashor,67.5833,63.95,17.32,81,100,1.76,RU,1721037714
158,laguna,38.421,-121.4238,21.63,64,0,2.57,US,1721037715
159,ilulissat,69.2167,-51.1,6.01,87,75,0.0,GL,1721037716
160,kuqa,41.7278,82.9364,34.59,16,63,6.39,CN,1721037792
161,rundu,-17.9333,19.7667,27.17,8,1,3.16,NA,1721037868
162,sergeyevka,53.88,67.4158,20.33,91,100,0.73,KZ,1721038531
163,rancho palos verdes,33.7445,-118.387,19.44,92,9,1.34,US,1721038606
164,bilibino,68.0546,166.4372,5.27,90,100,2.33,RU,1721038682
165,salahonda,2.1019,-78.7217,26.09,87,77,4.23,CO,1721038758
166,merano,46.6682,11.1595,30.37,51,4,2.34,IT,1721038840
167,sirvan,39.9379,48.9286,33.99,28,0,3.7,AZ,1721038916
168,punta arenas,-53.15,-70.9167,-1.94,100,20,1.54,CL,1721038992
169,avarua,-21.2078,-159.775,22.03,64,75,2.57,CK,1721039067
170,kattivakkam,13.2167,80.3167,28.05,95,100,5.63,IN,1721039143
171,ola,59.5833,151.2833,12.05,97,100,1.56,RU,1721039219
172,hellin,38.5106,-1.701,32.26,14,0,2.58,ES,1721039295
173,mwene-ditu,-7.0,23.45,33.26,13,96,1.57,CD,1721039636
174,barah,13.7,30.3667,34.79,39,74,5.89,SD,1721039711
